,date,size,edges,diameter,clustering,core_percent,anger,disgust,fear,joy,sadness,surprise,volume,daychange
27,2021-02-11,757,648,13,0.00013320084116797367,0.2824074074074074,0.06468018048824295,0.003969128125077515,0.19674854729173127,0.10034452943669267,0.06883418287648571,0.16725469731576217,64280000,-0.7699889999999812
28,2021-02-12,1108,1007,16,7.734224315877032e-05,0.46971201588877853,0.04518530762295209,0.0033182417131233043,0.17070899918964944,0.08912013903807414,0.048093602847974426,0.16057278416741533,60145100,1.0199889999999812
29,2021-02-16,1059,950,15,0.0003720297481750964,0.03684210526315789,0.0647193130969227,0.015511707067307588,0.15640722919567263,0.08822158853740399,0.058674869131153946,0.17939870638086422,80576300,-2.300003000000004
30,2021-02-17,1031,872,16,3.405848778251657e-05,0.2545871559633027,0.06596124381935815,0.013823336059287874,0.17205463337562651,0.11939921410992989,0.08913641110852562,0.17503730629287892,97918500,-0.4100039999999865
31,2021-02-18,1187,1061,17,0.0,0.3751178133836004,0.0698749222006069,0.00788308452335356,0.16272817390798933,0.09542186242885697,0.08055215203448989,0.22891980848726332,96856700,0.5100099999999941
32,2021-02-19,1033,945,18,2.3663547380875554e-05,0.3142857142857143,0.07833334369829671,0.005267913171021742,0.2036175532863393,0.10955911349366115,0.08326242108051109,0.1441571652949861,87668800,-0.3700100000000077
33,2021-02-22,1021,908,16,3.511287753012918e-05,0.2566079295154185,0.05912931565729786,0.003916628705345163,0.1716246940817555,0.11149197608244557,0.08429056752702185,0.17801804143727892,103916400,-2.0099950000000035
34,2021-02-23,2094,1907,18,4.595533498097293e-05,0.6203460933403251,0.08736774737307787,0.0033773409448861424,0.33255505707333705,0.09635062916823182,0.05567103736602039,0.17581713427115694,158273000,2.099998999999997
35,2021-02-24,1336,1183,15,0.00015028257840501587,0.15722738799661876,0.05784627475498019,0.005643110684629492,0.15989306391231844,0.12253540619840658,0.06392404179187233,0.1855813971635847,111039900,0.4099959999999925
36,2021-02-25,990,829,14,0.0,0.04342581423401689,0.06006930112584529,0.003073849961319516,0.153624723018582,0.11289226555398037,0.07347814380806986,0.19052941274601987,148199500,-3.690002000000007
37,2021-02-26,1127,995,20,0.000512327296871528,0.19597989949748743,0.07329567823504766,0.003377997323809522,0.16285239609790508,0.10611716967527626,0.10807021283240917,0.21811766276047673,164560400,-1.3299939999999992
38,2021-03-01,1914,1839,18,2.8366302403786964e-05,0.5307232191408374,0.08321701074414178,0.0025172121002076256,0.11917159016425012,0.12712545335790928,0.09856513196075148,0.18944338609965367,116307900,4.040001000000004
39,2021-03-02,1309,1147,16,0.0003287819223746075,0.4210985178727114,0.06486880354059472,0.007027333017784529,0.22456495865451698,0.16092317303006437,0.0769950282319134,0.16409015837025703,102260900,-3.2900009999999895
40,2021-03-03,1405,1298,13,0.00014049870195503923,0.44838212634822805,0.0558084985134375,0.004712901462729818,0.19738877467068539,0.09182922579278616,0.06584157647949114,0.29644756065494887,112966300,-2.75
41,2021-03-04,1351,1237,11,0.00011133423549954548,0.0008084074373484236,0.07646193034367839,0.00833598961978034,0.13045855053828445,0.08736705858965314,0.07050687718136099,0.24818152150453615,178155000,-1.620002999999997
42,2021-03-05,1214,1156,12,0.00012247416108307038,0.02162629757785467,0.06673418241830457,0.008165410465132836,0.1668131677959126,0.08696537529812506,0.09986495529249964,0.17933547629031374,153766600,0.43999500000001035
43,2021-03-08,1228,1133,13,0.0003243968930182705,0.42718446601941745,0.07482513234810036,0.004441559711405037,0.16789064710174179,0.16513415999474115,0.10865503434089473,0.14402762468720554,154376600,-4.56999900000001
44,2021-03-09,1107,961,10,0.0,0.14360041623309053,0.07205458446599629,0.0043590669408064735,0.16157712189151852,0.1876444029672198,0.07384274794051228,0.17882455782533133,129525800,2.0599969999999956
45,2021-03-10,1086,976,13,0.00017558587350263838,0.3125,0.07044679787658978,0.00548796150385253,0.1159818820399816,0.13830914879292172,0.07488591243170513,0.15715956842718823,111943300,-1.7099990000000105
46,2021-03-11,764,662,13,0.0002916747462995282,0.11329305135951662,0.06203496514314269,0.0061814892023968355,0.1828544325141148,0.1404392680002665,0.08212790343781637,0.1643431253827295,103026500,-0.5800020000000075
47,2021-03-12,685,591,12,0.0,0.3062605752961083,0.06926019836303447,0.005769481103806888,0.17222012181669047,0.20513395095158635,0.066108121840138,0.15487245526786184,88105100,0.629997000000003
48,2021-03-15,693,631,16,0.0012187094394163977,0.23613312202852615,0.06268516687434904,0.004775798446979159,0.13415546686552096,0.14020838982539066,0.07866726044583323,0.16067328873528633,92403800,2.5799939999999992
49,2021-03-16,1025,960,11,6.881298354216033e-05,0.19166666666666668,0.06253109743225518,0.0057939455827223756,0.13881997553499548,0.15222164302443839,0.06683172763243508,0.16810573796756556,115227900,-0.12999700000000303
50,2021-03-17,779,683,11,0.0,0.055636896046852125,0.07808409265460278,0.0052447049317024125,0.15544501388991147,0.12160371563649436,0.0748279020192055,0.16834835676191667,111932600,0.7099989999999963
51,2021-03-18,837,741,12,0.0002242269187878727,0.3090418353576248,0.15611120097638725,0.014893805692739001,0.13801055873403825,0.10949782850271547,0.06795665587780424,0.1531065757060208,121229700,-2.3499979999999994
52,2021-03-19,676,594,13,6.52627915071354e-05,0.2542087542087542,0.09249323665738159,0.004873116628217271,0.12107291395575198,0.20753078923175475,0.05977063139401119,0.17393985165267398,185549500,0.0899959999999993
53,2021-03-22,853,760,13,1.8780936544644144e-05,0.23684210526315788,0.07714513438472363,0.006611293256944731,0.1256775662868914,0.15046639511126766,0.07826584280682551,0.16083646361885146,111912300,3.05999700000001
54,2021-03-23,546,457,14,0.00016494391494391495,0.13129102844638948,0.07240019679217079,0.015913811623665435,0.1572334677254451,0.14411559236245566,0.07382122111174387,0.1465500012160144,95467100,-0.7900009999999895
55,2021-03-24,587,509,9,0.0002920465800731628,0.2829076620825147,0.0978742330259598,0.006812438054915491,0.1305503639973887,0.1335762625788015,0.09609082245115201,0.1555441162116587,88530500,-2.730003999999994
56,2021-03-25,608,508,14,0.00017694164219830065,0.11220472440944881,0.07469507246529332,0.006918966970031711,0.1475792659658001,0.1394617504074485,0.0856960008890649,0.18401579693565773,98844700,1.0499949999999956
57,2021-03-26,638,540,12,2.858978780500778e-05,0.12777777777777777,0.08038134894299051,0.00577739338570092,0.2559808131544393,0.10873012905404994,0.07265194570950152,0.1431898546781932,94071200,0.8600009999999969
58,2021-03-29,601,507,9,0.00021471444693253297,0.1203155818540434,0.07800517265945961,0.004036731196295696,0.16504046685516738,0.15550979479046104,0.07916487893942745,0.18657248384833122,80819200,-0.26000299999999754
59,2021-03-30,581,495,11,0.0005652353945863678,0.17373737373737375,0.09339027158409109,0.01584180051741259,0.1613728203365384,0.17230763888426567,0.09240784184510484,0.1495088170326921,85671900,-0.20999899999999627
60,2021-03-31,981,895,13,0.00010159312175024734,0.37988826815642457,0.059565592612016084,0.008059081749851038,0.1426289484114907,0.16500833298699147,0.0558722176792452,0.16468508498133047,118323800,0.5
61,2021-04-01,1020,951,11,0.00016338190834356368,0.3270241850683491,0.07848590123314152,0.004064776559080454,0.12644274306331493,0.11942772082051731,0.05789704865249019,0.1593013023171362,75089100,-0.6600040000000007
62,2021-04-05,962,954,12,0.00014586912899905452,0.09643605870020965,0.0550719470056606,0.004204322063580549,0.18080430516944554,0.17017773202404082,0.07553513261023014,0.15512265229556746,88651200,2.0299990000000037
63,2021-04-06,826,772,12,4.4122040187415484e-05,0.3173575129533679,0.05579070610704367,0.00545279919851654,0.13150859671590165,0.16476174196969037,0.09823402396008518,0.17327037735378842,80171300,-0.29000100000000373
64,2021-04-07,706,667,13,0.00014693358996974843,0.17991004497751126,0.07340138910921282,0.004907526066839017,0.1972112836284725,0.1259548948236192,0.06733608782937722,0.1721116789112341,83466700,2.0700000000000074
65,2021-04-08,915,859,14,0.00015053634791561168,0.09662398137369034,0.06563458032560532,0.003524133094394787,0.18591039074880836,0.12339588632147151,0.08693384309506516,0.15856687248580978,88844600,1.410004000000015
66,2021-04-09,820,782,11,5.012863347260291e-05,0.058823529411764705,0.06414559715024738,0.005117818162591501,0.20938159440148404,0.14421185272334322,0.07483908454164204,0.15625342249277915,106686700,3.199996999999996
67,2021-04-12,835,776,15,0.00018145105877196956,0.14304123711340205,0.06035634104012225,0.003346902081659893,0.1584142430717203,0.21890336899419593,0.0680479996479629,0.14507487093686364,91420000,-1.2799990000000037
68,2021-04-13,1078,1043,13,0.0001135266355162397,0.009587727708533078,0.0649239793121989,0.004835156614188054,0.18045016757504334,0.11725882222261112,0.07635398361087803,0.20204391502155444,91266500,1.9899910000000034
69,2021-04-14,1730,1666,12,0.0001671549882238229,0.6338535414165666,0.08412673687944411,0.0023624496270614474,0.15011049476822008,0.08427539706748118,0.05494881105318793,0.32895609622550026,87222800,-2.910002999999989
70,2021-04-15,586,498,10,0.0,0.18674698795180722,0.06947346332955319,0.0047798227591580675,0.17902963647766357,0.09052321952422683,0.07670536904158047,0.198687869498351,89347100,0.6799929999999961
71,2021-04-16,624,559,10,0.00013337842760872002,0.14311270125223613,0.06568815894530781,0.004148708521803529,0.22579649896510295,0.10732333919413482,0.08874074084648113,0.15440582855624657,84922400,-0.1399990000000173
72,2021-04-19,920,881,12,9.965986394557823e-05,0.3030646992054484,0.05700053946447124,0.0029682067797773626,0.15437933384115063,0.11260354944814488,0.07110261122439715,0.18352044869411865,94264200,1.33000100000001
73,2021-04-20,1194,1125,13,0.00014256633198758809,0.08266666666666667,0.06092746183921443,0.0024649619865785718,0.17656466989690728,0.1342998990100711,0.08952741793114292,0.17792854274438613,94812300,-1.910002999999989
74,2021-04-21,1039,907,16,2.408447841426303e-05,0.22381477398015434,0.05855274931393036,0.003528772228995028,0.19249521441622894,0.13788296749964193,0.14320666967800927,0.15830783476298527,68847100,1.1399989999999889
75,2021-04-22,802,739,15,6.554526644750522e-05,0.27604871447902574,0.07551253368681483,0.003974929752489433,0.16319969621076036,0.1207396507516875,0.1572127329559067,0.14476427061280622,84566500,-1.099991000000017
