,date,size,edges,avgdeg,diameter,clustering,connectivity,anger,disgust,fear,joy,sadness,surprise,volume,daychange
45,2021-03-10,420,392,-0.19642339109149487,13,0.0,0,0.10362839886069872,0.0019340628328820993,0.16005049536091653,0.11268479379246754,0.05068393991877735,0.3049788555873354,23939100,-0.6699999999999999
46,2021-03-11,321,301,-0.19670238844758195,8,0.0,0,0.0790143949777777,0.0022686173391472915,0.16969304138010327,0.12528468058372133,0.0653584695896641,0.2885262655604653,12306200,0.14999999999999858
47,2021-03-12,332,301,-0.21462303440011044,9,0.0,0,0.11716293529251355,0.001842804471951873,0.1584945740358289,0.13610952963609604,0.041333552548663055,0.24316559268021393,25863200,1.379999999999999
48,2021-03-15,218,190,-0.17284706484747495,8,0.0,0,0.08223981910075477,0.0023690139879245283,0.17304775880490572,0.1501910031947171,0.07683483532867928,0.14854492243735845,25353500,-0.41000000000000014
49,2021-03-16,190,164,-0.142314965418642,10,0.0,0,0.09070051753348417,0.003984622990271495,0.20921828030180994,0.12184271745158372,0.10442539292488695,0.14850584264162897,19812400,-0.40999999999999837
50,2021-03-17,288,265,-0.3073638123907725,9,0.0,0,0.04822872458128484,0.0014483334647206745,0.10777260450111724,0.11451866557849169,0.03983436729888268,0.3706761898840779,9710500,0.2699999999999996
51,2021-03-18,156,125,-0.2575792180165902,11,0.0,0,0.03795447981257862,0.0014497016828301896,0.1820572420842766,0.19269904960880493,0.05127065203333332,0.207399187454717,11400300,-0.6300000000000008
52,2021-03-19,112,92,-0.16922003259278234,8,0.0,0,0.10383597186629838,0.0046358991890055245,0.08103738401215467,0.2279542154441989,0.11627165164806642,0.15213032374143654,10519100,0.11999999999999922
53,2021-03-22,124,101,-0.19038307617133784,6,0.0,0,0.053680388538562065,0.0016361761331372532,0.2116691423797386,0.16388839718300652,0.10525525155620913,0.12288942028039215,7903600,-0.28999999999999915
54,2021-03-23,105,87,-0.1736369982679402,9,0.0,0,0.09030606168774197,0.0020314933563870966,0.19774362099677414,0.16461299815290334,0.06894699608903225,0.11916606245870973,12245500,-0.6199999999999992
55,2021-03-24,138,113,-0.22517024463285548,6,0.0,0,0.10169331466216225,0.004287288457027027,0.12647847558324316,0.12854914079297308,0.11399724552864861,0.1533713276632431,12636100,-0.6300000000000008
56,2021-03-25,163,142,-0.25823805705514186,10,0.0,0,0.1545856558967441,0.0026337360420930224,0.15305867592883723,0.12983606459441865,0.0803873417432558,0.1803303824037209,14363900,0.5700000000000003
57,2021-03-26,187,172,-0.21575998098306823,11,0.0,0,0.07652753954117643,0.003481596965098038,0.1947202200678429,0.13022428048313736,0.09381335165137247,0.1433929388678432,13197200,-0.41999999999999993
58,2021-03-29,179,147,-0.22960290586308568,2,0.0,0,0.10938295524711558,0.0015320075928846146,0.30134970196586525,0.21879748074567326,0.15884192741586523,0.06938639392451923,13538000,-0.3600000000000012
